,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Europe,2147.789,2148.441,2161.318,2231.591,2341.118,2438.887,2494.954,2568.413,2617.017,2672.9879,2687.2323,2713.35125,2723.8728,2737.06706,2781.8002,2864.75158,2953.90946,2984.73116,3056.06191,3097.09433,3196.56405,3259.11258,3286.00756,3352.84754,3436.27224,3488.57213,3538.89043,3581.40561,3610.11919,NA
Albania,3.635,3.673,3.692,3.71,3.737,3.783,3.814,4.236,3.93,4.081,3.141,3.641,3.31,3.441,3.858,4.359,5.857,5.125,5.01,5.337,4.684,3.648,3.641,5.174,5.498,5.385,5.038,2.828,3.759,NA
Austria,40.574,41.233,41.458,41.191,40.97,43.033,43.295,38.842,47.491,48.426,47.662,49.444,49.423,50.018,50.648,53.636,51.929,54.165,54.521,57.4819,58.16266,58.44116,58.49609,55.37669,59.23068,61.3904,58.32504,59.93474,61.9222,62.9775
Belgium,50.572,47.537,47.25,49.041,50.813,53.112,54.576,59.154,61.423,63.708,66.325,67.13,67.333,66.061,67.23055,69.257,70.781,73.38155,77.28611,78.511,77.926,73.987,76.196,78.6756,79.396,80.4021,79.1443,82.168,78.4413,84.1969
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,6.304,3.245,4.162,4.32,7.157,8.471,9.282,10.191,10.058,10.259,10.401,10.815,12.269,12.179,12.838,11.315,12.692,NA
Bulgaria,32.854,34.868,38.112,40.185,42.08,39.184,39.354,40.916,42.409,42.615,39.449,36.721,33.704,35.952,36.0665,39.569,41.067,39.854,39.253,35.911,38.317,40.663,40.754,39.528,38.799,41.2088,42.6626,40.24915,41.7171,NA
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,8.578,9.015,8.026,8.594,10.277,9.353,10.505,11.833,10.237,11.646,11.618,11.979,12.68,11.8665,11.7875,11.4689,11.6579,NA
Cyprus,0.968,0.993,1.071,1.148,1.175,1.24,1.338,1.421,1.568,1.734,1.857,1.952,2.26,2.426,2.52,2.325,2.4365,2.548,2.777,2.951,3.168,3.338,3.558,3.809,3.948,4.114,4.373,4.5019,4.7092,NA
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,55.51535,55.35385,57.46085,60.144,61.14039,61.35,60.352,68.5744,69.894,71.6289,78.0368,78.9465,77.168,78.7933,82.7186,78.4343,77.0183
Denmark,25.162,18.453,22.394,20.74,19.741,25.707,28.79,27.577,25.785,21.247,24.448,34.362,28.90625,31.9493,37.807,34.503,50.419,41.723,38.71573,36.651,33.947,35.529,37.002,43.498,38.11,34.2667,42.9729,36.9201,34.3174,34.1482
Faroe Islands,0.152,0.157,0.161,0.161,0.169,0.182,0.18,0.184,0.205,0.206,0.202,0.194,0.191,0.173,0.169,0.168,0.17504,0.17612,0.1829,0.19223,0.20349,0.22067,0.23017,0.2355,0.23166,0.22543,0.23489,0.24368,0.25189,NA
Finland,38.71,39.115,39.355,40.347,43.226,47.316,46.916,50.847,43.97,51.187,51.849,55.361,55.258,58.3468,62.54165,60.96845,66.06065,65.11773,66.987,66.24555,66.839,70.962,71.271,79.99435,81.541,67.1021,78.0524,77.6941,73.6479,67.937
Former Czechoslovakia,72.148,69.133,70.426,71.853,73.886,76.343,80.517,80.36,81.747,83.552,81.249,78.415,77.836,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,34.866,31.681,32.213,35.268,38.05,37.97,35.191,30.946,31.842,32.745,33.032,33.24,35.69,34.546,--,--,--,--
Former Yugoslavia,57.153,58.204,59.758,63.67,69.923,72.091,75.121,77.257,79.935,78.931,78.69,75.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,250.518,261.884,264.531,280.011,306.128,324.292,341.533,355.893,370.663,384.497,396.166,428.49195,437.94075,447.344,452.913,467.7805,483.352,476.6492,482.3019,494.395,509.7029,519.2612,525.919,533.3643,540.3396,542.4418,540.3821,535.6444,541.8663,509.9855
Germany,--,--,--,--,--,--,--,--,--,--,--,505.1685,503.2989,492.79675,495.17065,502.501,519.63545,516.60843,521.495,518.5926,534.26,548.532,548.957,565.851,572.6133,577.314,593.1968,593.382,594.6854,556.4246
"Germany, East",98.808,94.478,96.52,98.419,110.093,113.834,115.291,113.62,117.634,117.724,104.008,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",368.564,367.279,364.611,370.553,391.745,404.905,405.107,414.911,427.814,409.933,419.389,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.052,0.054,0.056,0.057,0.057,0.059,0.061,0.066,0.07,0.076,0.077,0.077,0.083,0.083,0.083,0.083,0.085,0.087,0.092,0.096,0.118,0.118,0.121,0.126,0.128,0.136,0.142,0.146,0.156,NA
Greece,21.288,21.879,21.763,22.263,23.057,25.736,25.965,27.595,29.648,31.265,32.68,33.722,35.0226,35.85265,37.98415,38.8903,40.0181,40.79838,43.5345,46.563,50.231,49.737,50.573,54.44095,55.307,55.879,56.6191,58.7606,58.9681,51.4984
Hungary,22.364,22.687,23.208,24.256,24.743,25.211,26.404,27.998,27.52,27.854,26.907,28.358,30.021,31.15931,31.739,32.22073,33.22376,33.51412,35.20941,35.717,33.231,34.381,34.139,32.2138,31.822,33.776,33.8661,37.7381,37.8052,33.9473
Iceland,3.148,3.268,3.585,3.777,3.925,3.852,4.063,4.157,4.42,4.479,4.453,4.43785,4.4915,4.669,4.722,4.9185,5.0574,5.51494,6.19225,7.0712,7.55385,7.894,8.274,8.359,8.47785,8.5331,9.7254,11.714,16.1421,16.4843
Ireland,9.54,9.448,9.674,9.598,9.799,10.553,10.851,11.673,11.786,12.588,13.29,13.977,14.77775,15.12925,15.76905,16.4952,17.7093,18.43272,19.55455,20.382,22.154,23.031,23.221,23.2123,23.54385,23.9469,25.3355,26.0615,27.4745,25.5372
Italy,175.413,169.761,173.03,170.44,169.876,171.861,178.341,187.607,173.751,195.2879,200.7286,206.2525,211.09795,207.5418,216.2118,223.55175,225.33635,232.08982,238.3473,243.55,253.60475,255.61665,260.05,265.17105,277.5577,278.5222,288.9195,289.5581,294.9682,269.6369
Luxembourg,0.791,0.548,0.363,0.312,0.383,0.348,0.391,0.407,0.352,0.378,0.296,0.223,0.387,0.431,0.316,0.141,0.105,0.06185,0.059,0.087,0.144,0.20095,2.32795,2.363,2.87025,2.8354,2.9885,2.6955,2.2425,2.6669
Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,5.721,4.896,5.491,5.804,6.286,6.374,6.679,6.521,6.461,6.011,5.762,6.401,6.341,6.603,6.671,6.159,5.975,NA
Malta,0.506,0.554,0.608,0.635,0.658,0.737,0.799,0.887,0.968,1.034,1.23,1.334,1.401,1.41,1.449,1.534,1.559,1.585,1.618,1.743,1.802,1.826,1.929,2.102,2.083,2.106,2.125,2.158,2.173,NA
